iter	Logloss
0	0.6588150628
1	0.6289652911
2	0.6035045186
3	0.5814831853
4	0.5633836842
5	0.547433556
6	0.5335677946
7	0.521188318
8	0.5090706124
9	0.4990096987
10	0.4907588366
11	0.4818299493
12	0.4749213979
13	0.4681126843
14	0.4628635165
15	0.4588090574
16	0.4531061655
17	0.4477472104
18	0.4441129091
19	0.4402046506
20	0.4367455598
21	0.4339465907
22	0.4309686972
23	0.4284514895
24	0.4258956196
25	0.4236177519
26	0.4208237034
27	0.4187685373
28	0.4168831034
29	0.4149511342
30	0.4138803785
31	0.4125387431
32	0.4115015926
33	0.4103220066
34	0.4092906468
35	0.4079295937
36	0.4070897735
37	0.4063124693
38	0.4056864912
39	0.404942806
40	0.4039931768
41	0.4029583019
42	0.4024340148
43	0.4019015675
44	0.4013590852
45	0.40097675
46	0.4007039322
47	0.400143051
48	0.3998491763
49	0.3994767632
50	0.3992118751
51	0.3985292825
52	0.3984521429
53	0.3976337559
54	0.3972971553
55	0.3969676223
56	0.3965531645
57	0.3959762493
58	0.3958627846
59	0.3954193765
60	0.3953154049
61	0.3951078819
62	0.3944172503
63	0.3942802687
64	0.3941797245
65	0.3938108916
66	0.3937446869
67	0.3937390687
68	0.3932749071
69	0.3932718891
70	0.3929715156
71	0.3928700737
72	0.3928360397
73	0.3927145911
74	0.3922138911
75	0.3922047594
76	0.3917993118
77	0.3914389052
78	0.3913464999
79	0.3909638972
80	0.3906991681
81	0.3906140424
82	0.3905635451
83	0.3899780392
84	0.3895399384
85	0.3894621817
86	0.3891129151
87	0.388979338
88	0.3886574283
89	0.3879637985
90	0.3876634108
91	0.3872277818
92	0.3865760736
93	0.386549454
94	0.3863098179
95	0.38616351
96	0.3858528335
97	0.3852234786
98	0.3849748458
99	0.3849747719
