iter	Passed	Remaining
0	13	1375
1	29	1456
2	45	1469
3	59	1427
4	74	1422
5	89	1397
6	103	1376
7	117	1354
8	129	1305
9	136	1226
10	140	1140
11	154	1132
12	165	1107
13	178	1099
14	192	1090
15	197	1037
16	211	1030
17	224	1024
18	231	989
19	245	981
20	259	975
21	273	968
22	287	961
23	301	953
24	315	946
25	329	936
26	342	926
27	356	916
28	370	906
29	383	895
30	397	884
31	411	873
32	424	861
33	438	850
34	449	835
35	463	823
36	477	813
37	491	801
38	505	790
39	518	778
40	533	767
41	546	755
42	560	742
43	574	730
44	588	718
45	601	706
46	613	691
47	626	678
48	631	657
49	644	644
50	659	633
51	673	621
52	686	609
53	700	596
54	709	580
55	722	567
56	736	555
57	750	543
58	755	525
59	768	512
60	782	500
61	792	485
62	805	473
63	813	457
64	825	444
65	839	432
66	846	417
67	851	400
68	864	388
69	869	372
70	883	360
71	894	347
72	905	334
73	919	322
74	934	311
75	941	297
76	954	285
77	969	273
78	983	261
79	997	249
80	1011	237
81	1025	225
82	1038	212
83	1052	200
84	1066	188
85	1079	175
86	1093	163
87	1107	150
88	1120	138
89	1134	126
90	1148	113
91	1162	101
92	1176	88
93	1189	75
94	1203	63
95	1216	50
96	1230	38
97	1244	25
98	1258	12
99	1265	0
